drug_name,adr_term,archetype,true_signal,demographic_minority_flag,T_confirmation,feature_extraction_date,years_since_approval,days_to_signal,notoriety_flag,stimulated_reporting_flag,ground_truth_confidence,temporal_cohort,S1,S2_raw,S2_corrected,S3,S4,S5,S6,S7,weber_factor,prr_raw,S1_score,S2_score,S3_score,S4_score,S5_score,S6_score,S7_score,prr_score,composite_probability,hdi_lower,hdi_upper,hdi_width,dci,uncertainty_flag
Cisapride,QT Prolongation,standard,1,1,2000-03-15,1999-09-16,4.692,954,0,0,1.0,2000-2005,90.69,73.69,73.69,100.0,53.89,79.66,25.0,84.61,1.0,5.326,0.9068999999999999,0.7369,1.0,0.5389,0.7966,0.25,0.8461,0.46916325829162053,0.9998,0.9992,1.0,0.0008,0.9996,False
Amlodipine,Cancer,negative,0,0,,2014-04-12,11.845,9999,0,0,0.8,unknown,2.69,73.11,73.11,27.19,41.61,15.28,0.0,31.98,1.0,3.691,0.0269,0.7311,0.27190000000000003,0.41609999999999997,0.1528,0.0,0.31980000000000003,0.39311147637932187,0.0035,0.0016,0.0074,0.0059,0.9931,False
Isotretinoin,Depression,media_panic,1,0,2005-07-15,2005-01-15,3.089,929,0,0,1.0,2005-2010,35.24,91.05,91.05,33.62,36.06,23.11,25.0,38.2,1.0,15.962,0.35240000000000005,0.9105,0.3362,0.36060000000000003,0.2311,0.25,0.382,0.7200155379164034,0.0858,0.0368,0.1876,0.1508,0.8283,False
Levetiracetam,Renal Toxicity Mild,negative,0,0,,2011-04-05,5.538,9999,0,0,0.8,unknown,54.81,40.01,40.01,0.0,0.0,15.6,30.93,45.32,1.0,1.285,0.5481,0.40009999999999996,0.0,0.0,0.156,0.3093,0.4532,0.21017361946785687,0.0247,0.0111,0.0543,0.0433,0.9506,False
Pemoline,Hepatotoxicity,silent_killer,1,0,2005-10-15,2005-04-17,1.622,301,0,0,0.6,2005-2010,31.62,21.84,21.84,60.48,71.87,60.59,85.0,72.94,0.5555865694883733,4.368,0.31620000000000004,0.2184,0.6048,0.7187,0.6059,0.85,0.7293999999999999,0.42739825125586983,0.9983,0.9935,0.9996,0.006,0.9967,False
Interferon-beta,Thrombotic Microangiopathy,silent_killer,1,0,2014-04-15,2013-10-16,2.122,1152,0,0,1.0,2010-2015,75.32,13.43,13.43,91.3,96.01,31.23,40.0,63.55,1.0,3.544,0.7532,0.1343,0.9129999999999999,0.9601000000000001,0.3123,0.4,0.6355,0.3850139408064103,0.995,0.9824,0.9986,0.0163,0.9901,False
Levothyroxine,Osteoporosis,negative,0,0,,2011-08-04,9.684,9999,0,0,0.8,unknown,34.91,51.45,51.45,0.0,54.16,29.28,0.0,37.84,1.0,0.581,0.34909999999999997,0.5145000000000001,0.0,0.5416,0.2928,0.0,0.3784,0.11649996744895096,0.0112,0.005,0.0246,0.0196,0.9776,False
Insulin Glargine,Breast Cancer,negative,0,1,,2010-08-03,11.339,9999,0,0,0.8,unknown,40.9,95.18,95.18,0.0,16.57,13.94,1.61,44.23,1.0,3.95,0.409,0.9518000000000001,0.0,0.16570000000000001,0.1394,0.0161,0.44229999999999997,0.406779884455964,0.0104,0.0043,0.025,0.0207,0.9792,False
Alosetron,Ischemic Colitis,standard,1,0,2000-11-15,2000-05-18,6.61,430,0,0,0.8,2000-2005,95.37,59.43,59.43,59.91,80.16,63.97,50.0,68.33,1.0,8.67,0.9537,0.5943,0.5991,0.8016,0.6396999999999999,0.5,0.6833,0.5770928116903836,0.999,0.996,0.9997,0.0037,0.9979,False
Hydroxyethyl Starch,Renal Failure,standard,1,0,2013-06-15,2012-12-16,4.206,960,0,0,1.0,2010-2015,69.9,76.71,76.71,32.36,47.94,44.4,30.0,90.58,1.0,13.067,0.6990000000000001,0.7670999999999999,0.3236,0.4794,0.444,0.3,0.9057999999999999,0.6724183307548337,0.9954,0.9824,0.9988,0.0164,0.9907,False
Losartan,Alzheimer Disease,negative,0,0,,2014-05-17,8.993,9999,0,0,0.8,unknown,0.0,58.32,58.32,52.19,39.2,3.08,41.91,38.69,1.0,1.775,0.0,0.5832,0.5219,0.392,0.0308,0.4191,0.38689999999999997,0.2595869813512555,0.057,0.0251,0.1243,0.0992,0.8861,False
Isotretinoin,Depression,media_panic,1,1,2005-07-15,2005-01-15,4.514,1059,0,0,0.8,2005-2010,9.67,72.15,72.15,8.76,50.29,13.32,30.0,58.0,1.0,13.258,0.0967,0.7215,0.0876,0.5029,0.1332,0.3,0.58,0.6758484228239302,0.1545,0.0653,0.3233,0.258,0.6911,False
Aprotinin,Renal Failure,standard,1,1,2007-11-15,2007-05-18,5.114,787,0,0,1.0,2005-2010,47.35,84.26,84.26,84.81,100.0,46.85,50.0,63.46,1.0,9.396,0.47350000000000003,0.8426,0.8481000000000001,1.0,0.4685,0.5,0.6346,0.5955048202778247,0.9977,0.9913,0.9994,0.0081,0.9954,False
Metformin,Pancreatitis,negative,0,1,,2013-12-01,12.486,9999,0,0,0.8,unknown,22.24,82.17,82.17,9.83,7.9,0.0,38.25,39.58,1.0,3.554,0.2224,0.8217,0.0983,0.079,0.0,0.3825,0.3958,0.3855730414451572,0.0124,0.0055,0.0279,0.0224,0.9752,False
Gabapentin,Suicide,negative,0,0,,2010-09-28,7.111,9999,0,0,0.8,unknown,12.37,27.88,27.88,14.81,45.75,20.03,29.26,32.0,1.0,1.878,0.12369999999999999,0.2788,0.1481,0.4575,0.2003,0.2926,0.32,0.26885617705603193,0.0092,0.0045,0.0184,0.0139,0.9817,False
Troglitazone,Hepatotoxicity,standard,1,0,2000-03-15,1999-09-16,7.607,125,0,0,0.8,2000-2005,54.32,53.63,53.63,83.0,18.83,78.64,100.0,79.16,1.0,22.806,0.5432,0.5363,0.83,0.1883,0.7864,1.0,0.7916,0.8062253888785164,0.9998,0.9993,1.0,0.0007,0.9997,False
Rivaroxaban,Fatal Bleeding,standard,1,0,2013-03-15,2012-09-15,4.075,72,0,0,1.0,2010-2015,86.87,81.46,81.46,66.4,81.64,0.89,100.0,54.9,1.0,11.218,0.8687,0.8146,0.664,0.8164,0.0089,1.0,0.5489999999999999,0.6365771293101143,0.9977,0.9912,0.9994,0.0081,0.9953,False
Beta Blockers,Depression (Systematic),negative,0,0,,2013-03-14,5.555,9999,0,0,0.8,unknown,14.61,25.25,25.25,1.95,0.0,38.06,24.11,45.24,1.0,2.625,0.1461,0.2525,0.0195,0.0,0.38060000000000005,0.24109999999999998,0.4524,0.3275461346983223,0.01,0.0047,0.0214,0.0167,0.9799,False
Nefazodone,Hepatotoxicity,standard,1,0,2003-01-15,2002-07-18,6.302,369,0,0,1.0,2000-2005,86.46,70.38,70.38,46.49,66.64,35.25,60.0,56.31,1.0,20.926,0.8645999999999999,0.7038,0.46490000000000004,0.6664,0.3525,0.6,0.5631,0.7853026648877427,0.9847,0.9518,0.9953,0.0435,0.9694,False
Fenfluramine,Cardiac Valvulopathy,standard,1,1,1997-09-15,1997-03-18,1.449,1146,0,1,1.0,2000-2005,80.11,60.6,60.6,86.57,26.03,88.57,30.0,64.26,0.5154332082094975,3.2,0.8011,0.606,0.8656999999999999,0.26030000000000003,0.8856999999999999,0.3,0.6426000000000001,0.36499190435740814,0.9947,0.9766,0.9988,0.0222,0.9895,False
Topiramate,Metabolic Acidosis Minor,negative,0,1,,2013-04-18,4.207,9999,0,0,0.8,unknown,50.53,71.2,71.2,15.56,36.44,0.0,48.32,26.68,1.0,1.746,0.5053,0.7120000000000001,0.15560000000000002,0.3644,0.0,0.4832,0.2668,0.25691508263703416,0.026,0.0117,0.057,0.0453,0.948,False
Buflomedil,Cardiovascular Events,standard,1,0,2011-02-15,2010-08-18,3.258,121,0,0,1.0,2010-2015,100.0,65.93,65.93,76.18,64.86,64.19,100.0,69.7,1.0,7.751,1.0,0.6593000000000001,0.7618,0.6486,0.6419,1.0,0.6970000000000001,0.5516948568369492,0.9999,0.9997,1.0,0.0003,0.9999,False
Nimesulide,Hepatotoxicity,silent_killer,1,1,2002-03-15,2001-09-15,1.026,633,0,0,1.0,2000-2005,76.23,44.21,44.21,45.28,100.0,23.37,50.0,56.8,0.4013032083942708,4.906,0.7623000000000001,0.4421,0.45280000000000004,1.0,0.23370000000000002,0.5,0.568,0.4516906264968771,0.9754,0.9182,0.9929,0.0747,0.9507,False
Interferon-beta,Thrombotic Microangiopathy,silent_killer,1,0,2014-04-15,2013-10-16,3.263,1094,0,0,0.8,2010-2015,100.0,0.0,0.0,77.59,78.18,59.1,30.0,56.82,1.0,4.586,1.0,0.0,0.7759,0.7818,0.591,0.3,0.5682,0.4375228273617593,0.9898,0.9653,0.997,0.0317,0.9796,False
Beta Blockers,Depression (Systematic),negative,0,0,,2012-11-02,10.894,9999,0,0,0.8,unknown,29.6,20.65,20.65,23.05,27.16,12.21,59.21,34.58,1.0,1.868,0.29600000000000004,0.2065,0.2305,0.2716,0.12210000000000001,0.5921,0.3458,0.26797091762366226,0.0453,0.0216,0.0924,0.0708,0.9095,False
Montelukast,Neuropsychiatric Events,negative,0,0,,2013-07-02,13.132,9999,0,0,0.8,unknown,0.0,51.67,51.67,5.83,34.14,6.4,35.03,35.18,1.0,3.265,0.0,0.5167,0.0583,0.3414,0.064,0.3503,0.3518,0.3688978903010621,0.0054,0.0026,0.0112,0.0086,0.9892,False
Fluoxetine,Birth Defects,negative,0,1,,2014-04-26,5.201,9999,0,0,0.8,unknown,32.46,48.64,48.64,3.83,49.49,13.6,20.85,39.37,1.0,2.815,0.3246,0.4864,0.0383,0.4949,0.136,0.20850000000000002,0.3937,0.34053917691377394,0.0194,0.0089,0.0416,0.0327,0.9613,False
Natalizumab,Progressive Multifocal Leuko.,silent_killer,1,0,2005-02-15,2004-08-18,5.421,1173,0,0,1.0,2005-2010,65.44,4.24,4.24,54.51,68.92,44.9,20.0,72.13,1.0,22.029,0.6544,0.0424,0.5451,0.6892,0.449,0.2,0.7212999999999999,0.79778570676148,0.9652,0.8952,0.989,0.0938,0.9305,False
Statins,ALS,negative,0,0,,2010-03-15,9.864,9999,0,0,0.8,unknown,9.36,68.49,68.49,5.93,0.0,8.28,56.33,41.79,1.0,2.855,0.09359999999999999,0.6849,0.0593,0.0,0.0828,0.5633,0.4179,0.3431919757032374,0.0194,0.0085,0.0434,0.0349,0.9612,False
Cerivastatin,Rhabdomyolysis,standard,1,1,2001-08-15,2001-02-15,2.177,295,0,0,1.0,2000-2005,72.18,55.31,55.31,100.0,20.37,58.2,85.0,72.8,1.0,1.916,0.7218000000000001,0.5531,1.0,0.20370000000000002,0.5820000000000001,0.85,0.728,0.27219233865283876,0.9996,0.9984,0.9999,0.0015,0.9992,False
Lumiracoxib,Hepatotoxicity,standard,1,0,2007-10-15,2007-04-17,0.959,715,0,0,0.6,2005-2010,66.95,22.2,22.2,91.29,33.88,87.01,60.0,77.09,0.38090713913713914,14.01,0.6695,0.222,0.9129,0.33880000000000005,0.8701000000000001,0.6,0.7709,0.6889208471252897,0.9995,0.9977,0.9999,0.0021,0.999,False
Ibuprofen,Myocardial Infarction Chronic,negative,0,1,,2014-05-13,6.319,9999,0,0,0.8,unknown,12.98,49.67,49.67,41.97,54.57,70.27,18.45,23.74,1.0,1.272,0.1298,0.49670000000000003,0.41969999999999996,0.5457,0.7027,0.1845,0.23739999999999997,0.2087225064175282,0.0424,0.0185,0.0945,0.076,0.9152,False
Cisapride,QT Prolongation,standard,1,0,2000-03-15,1999-09-16,1.373,897,0,0,0.6,2000-2005,87.61,63.17,63.17,47.05,22.78,90.63,35.0,82.82,0.4966653389514729,1.949,0.8761,0.6317,0.4705,0.2278,0.9063,0.35,0.8281999999999999,0.27505444820140745,0.9983,0.9926,0.9996,0.007,0.9965,False
Bromfenac,Hepatotoxicity,silent_killer,1,0,1998-06-15,1997-12-16,4.191,1013,0,1,0.8,2000-2005,52.36,39.13,39.13,62.89,58.89,89.33,25.0,65.61,1.0,6.349,0.5236,0.39130000000000004,0.6289,0.5889,0.8933,0.25,0.6561,0.5072870559025068,0.9854,0.9454,0.9962,0.0508,0.9708,False
Ibuprofen,Myocardial Infarction Chronic,negative,0,1,,2013-05-25,13.3,9999,0,0,0.8,unknown,28.11,24.8,24.8,2.94,39.38,25.76,2.45,30.13,1.0,0.512,0.2811,0.248,0.0294,0.39380000000000004,0.2576,0.0245,0.3013,0.1051504609757776,0.0022,0.0011,0.0043,0.0032,0.9956,False
Fluoride,IQ Reduction,negative,0,0,,2011-06-14,11.304,9999,0,0,0.8,unknown,14.76,34.6,34.6,0.0,36.69,18.15,5.27,35.59,1.0,2.112,0.1476,0.34600000000000003,0.0,0.3669,0.1815,0.0527,0.35590000000000005,0.28873752611697845,0.0023,0.0011,0.0046,0.0034,0.9954,False
Propoxyphene,Cardiac Conduction Abnormalities,standard,1,0,2010-11-15,2010-05-18,5.318,526,0,0,1.0,2010-2015,97.64,71.76,71.76,74.8,71.99,82.07,50.0,82.17,1.0,20.382,0.9764,0.7176,0.748,0.7199,0.8207,0.5,0.8217,0.7789128340539597,0.9999,0.9996,1.0,0.0003,0.9998,False
Lamotrigine,Bone Density Loss,negative,0,0,,2014-03-13,5.585,9999,0,0,0.8,unknown,22.05,52.93,52.93,1.98,0.0,33.77,35.1,43.84,1.0,1.927,0.2205,0.5293,0.019799999999999998,0.0,0.33770000000000006,0.35100000000000003,0.4384,0.27314995832243943,0.021,0.0095,0.0458,0.0363,0.958,False
Prasugrel,Bleeding,standard,1,0,2009-07-15,2009-01-15,3.057,408,0,0,0.8,2005-2010,59.72,96.67,96.67,59.19,83.17,81.28,60.0,70.4,1.0,23.865,0.5972,0.9667,0.5919,0.8317,0.8128,0.6,0.7040000000000001,0.8172949393842077,0.9994,0.9978,0.9999,0.0021,0.9989,False
Sibutramine,Cardiovascular Events,standard,1,0,2010-01-15,2009-07-18,3.343,897,0,0,0.8,2010-2015,93.23,53.97,53.97,59.01,65.63,98.14,30.0,84.87,1.0,1.912,0.9323,0.5397,0.5901,0.6563,0.9814,0.3,0.8487,0.2718432174200589,0.9997,0.9988,0.9999,0.0011,0.9995,False
Valproate,Pancreatic Cancer,negative,0,0,,2010-08-23,5.969,9999,0,0,0.8,unknown,4.49,59.36,59.36,41.55,18.89,52.91,41.05,40.73,1.0,2.34,0.0449,0.5936,0.4155,0.1889,0.5291,0.4105,0.4073,0.3067203176436395,0.132,0.0591,0.2688,0.2097,0.7361,False
Tetrazepam,Cutaneous Reactions,standard,1,1,2013-07-15,2013-01-15,1.098,513,1,0,1.0,2010-2015,100.0,100.0,100.0,67.29,81.26,69.32,50.0,83.08,0.4224729512380453,9.757,1.0,1.0,0.6729,0.8126000000000001,0.6931999999999999,0.5,0.8308,0.6041866876491843,0.9999,0.9996,1.0,0.0004,0.9999,False
Valproate,Pancreatic Cancer,negative,0,1,,2011-02-12,10.938,9999,0,0,0.8,unknown,34.59,50.04,50.04,29.75,37.85,31.04,34.02,28.13,1.0,3.451,0.34590000000000004,0.5004,0.2975,0.3785,0.3104,0.34020000000000006,0.2813,0.3797545795537078,0.0338,0.016,0.0701,0.0541,0.9325,False
Methotrexate,Cardiac Events in RA,negative,0,0,,2011-07-25,7.668,9999,0,0,0.8,unknown,10.18,100.0,100.0,38.81,39.3,40.15,27.35,42.24,1.0,0.616,0.1018,1.0,0.3881,0.39299999999999996,0.40149999999999997,0.2735,0.4224,0.12206898396110917,0.1588,0.0671,0.3313,0.2642,0.6824,False
Antidepressants,Type 2 Diabetes,negative,0,0,,2013-01-12,7.579,9999,0,0,0.8,unknown,63.84,60.66,60.66,30.34,37.82,23.8,43.95,43.59,1.0,1.654,0.6384000000000001,0.6065999999999999,0.3034,0.3782,0.23800000000000002,0.4395,0.4359,0.24824802193318712,0.3932,0.2033,0.622,0.4187,0.2136,True
Vaccines,Autism,negative,0,0,,2010-07-08,6.487,9999,0,0,0.8,unknown,13.25,46.27,46.27,0.0,36.45,25.72,29.11,33.79,1.0,3.606,0.1325,0.46270000000000006,0.0,0.36450000000000005,0.2572,0.29109999999999997,0.3379,0.3884607162348143,0.0077,0.0037,0.0158,0.0121,0.9846,False
Adalimumab,Demyelinating Disease,silent_killer,1,0,2008-02-15,2007-08-18,3.726,527,0,0,1.0,2005-2010,100.0,25.91,25.91,60.53,100.0,58.56,50.0,38.0,1.0,16.315,1.0,0.2591,0.6053000000000001,1.0,0.5856,0.5,0.38,0.7252542315510967,0.9765,0.9267,0.9928,0.0661,0.9531,False
Nefazodone,Hepatotoxicity,standard,1,0,2003-01-15,2002-07-18,5.738,793,0,0,1.0,2000-2005,41.52,59.02,59.02,75.21,0.0,63.08,30.0,72.95,1.0,2.189,0.4152,0.5902000000000001,0.7521,0.0,0.6308,0.3,0.7295,0.2949539212460879,0.9589,0.8741,0.9874,0.1133,0.9179,False
Metformin,Pancreatitis,negative,0,0,,2013-04-01,10.823,9999,0,0,0.8,unknown,48.16,74.08,74.08,22.63,40.2,0.0,47.83,50.4,1.0,0.635,0.4816,0.7408,0.2263,0.402,0.0,0.4783,0.504,0.1250418635702728,0.3202,0.1526,0.552,0.3994,0.3596,True
Temafloxacin,Hemolytic Anemia,silent_killer,1,0,1992-06-15,1991-12-17,2.364,460,1,0,1.0,2000-2005,75.59,24.23,24.23,62.79,100.0,49.74,50.0,60.17,1.0,8.03,0.7559,0.24230000000000002,0.6279,1.0,0.4974,0.5,0.6017,0.5596769981643748,0.9946,0.9798,0.9986,0.0188,0.9892,False
Dronedarone,Hepatotoxicity,masked_signal,1,0,2011-01-15,2010-07-18,5.736,826,0,0,0.6,2010-2015,59.2,51.4,51.4,25.62,53.02,56.11,50.0,47.59,1.0,9.416,0.5920000000000001,0.514,0.2562,0.5302,0.5611,0.5,0.47590000000000005,0.5959936437574249,0.7835,0.5689,0.9084,0.3395,0.5669,True
Sitaxentan,Hepatotoxicity,standard,1,0,2010-12-15,2010-06-17,7.296,814,0,0,0.8,2010-2015,96.68,83.63,83.63,80.05,46.13,59.45,30.0,66.09,1.0,15.697,0.9668000000000001,0.8362999999999999,0.8005,0.46130000000000004,0.5945,0.3,0.6609,0.7160106590525923,0.9964,0.9864,0.999,0.0126,0.9928,False
Ranolazine,QT Prolongation,masked_signal,1,1,2006-01-15,2005-07-18,1.88,1140,1,0,1.0,2005-2010,76.24,37.67,37.67,52.41,61.08,76.75,30.0,70.22,0.6093721646414789,15.751,0.7624,0.37670000000000003,0.5241,0.6108,0.7675,0.3,0.7021999999999999,0.7168318794515478,0.993,0.9715,0.9983,0.0268,0.9859,False
Rapacuronium,Bronchospasm,standard,1,1,2001-03-15,2000-09-15,4.274,957,1,0,1.0,2000-2005,46.01,58.82,58.82,58.83,71.81,91.74,50.0,83.6,1.0,11.323,0.46009999999999995,0.5882000000000001,0.5882999999999999,0.7181000000000001,0.9174,0.5,0.836,0.6387535128855176,0.9995,0.9979,0.9999,0.002,0.999,False
Adalimumab,Demyelinating Disease,silent_killer,1,0,2008-02-15,2007-08-18,3.521,295,1,0,0.6,2005-2010,62.63,51.69,51.69,40.48,100.0,76.2,80.0,59.42,1.0,16.055,0.6263000000000001,0.5169,0.4048,1.0,0.762,0.8,0.5942000000000001,0.7214062068935808,0.9985,0.9939,0.9996,0.0057,0.997,False
Ximelagatran,Hepatotoxicity,standard,1,0,2006-02-15,2005-08-18,7.782,419,1,0,1.0,2005-2010,90.62,34.72,34.72,38.84,79.01,72.53,50.0,85.39,1.0,22.78,0.9062,0.3472,0.3884,0.7901,0.7253000000000001,0.5,0.8539,0.8059474623921642,0.9996,0.9982,0.9999,0.0017,0.9992,False
Hydroxychloroquine,Retinopathy Minor,negative,0,0,,2010-09-02,14.505,9999,0,0,0.8,unknown,41.58,37.04,37.04,0.0,33.48,10.39,37.41,40.11,1.0,1.085,0.4158,0.3704,0.0,0.3348,0.1039,0.3741,0.4011,0.18687727378735516,0.0265,0.0123,0.0561,0.0438,0.947,False
Fluoride,IQ Reduction,negative,0,1,,2014-06-15,7.675,9999,0,0,0.8,unknown,27.25,71.55,71.55,54.45,33.43,51.64,1.98,34.82,1.0,2.937,0.2725,0.7155,0.5445,0.3343,0.5164,0.019799999999999998,0.3482,0.34854521537163125,0.061,0.0258,0.1373,0.1115,0.878,False
Alosetron,Ischemic Colitis,standard,1,1,2000-11-15,2000-05-18,4.616,1179,0,0,1.0,2000-2005,58.62,19.13,19.13,47.25,100.0,54.01,60.0,82.99,1.0,8.03,0.5861999999999999,0.1913,0.4725,1.0,0.5401,0.6,0.8299,0.5596769981643748,0.9993,0.9971,0.9998,0.0027,0.9985,False
Temafloxacin,Hemolytic Anemia,silent_killer,1,0,1992-06-15,1991-12-17,1.151,278,0,0,0.6,2000-2005,83.54,0.0,0.0,65.0,99.98,30.01,75.0,66.15,0.4375764133010608,15.828,0.8354,0.0,0.65,0.9998,0.30010000000000003,0.75,0.6615000000000001,0.7179983115813336,0.9985,0.9938,0.9996,0.0058,0.9969,False
Sildenafil,Hearing Loss Chronic,negative,0,0,,2011-11-05,9.262,9999,0,0,0.8,unknown,3.26,27.9,27.9,14.06,38.09,11.74,4.09,38.86,1.0,2.131,0.0326,0.27899999999999997,0.1406,0.3809,0.1174,0.0409,0.3886,0.2902856202077903,0.0028,0.0014,0.0057,0.0043,0.9943,False
Calcium Antagonists,Suicide,negative,0,1,,2011-08-28,9.871,9999,0,0,0.8,unknown,40.64,17.89,17.89,15.22,63.07,31.32,19.55,30.3,1.0,0.512,0.4064,0.1789,0.1522,0.6307,0.3132,0.1955,0.303,0.1051504609757776,0.0227,0.0107,0.0476,0.0369,0.9546,False
Valdecoxib,Stevens-Johnson Syndrome,standard,1,1,2005-04-15,2004-10-16,1.317,609,0,0,0.8,2005-2010,83.3,80.86,80.86,90.64,100.0,90.9,60.0,72.23,0.482372806757974,12.269,0.833,0.8086,0.9064,1.0,0.909,0.6,0.7223,0.6575648894589657,1.0,0.9998,1.0,0.0002,0.9999,False
Methotrexate,Cardiac Events in RA,negative,0,0,,2010-12-06,8.44,9999,0,0,0.8,unknown,23.92,56.22,56.22,59.49,70.3,0.0,26.02,36.43,1.0,1.622,0.23920000000000002,0.5622,0.5949,0.703,0.0,0.2602,0.3643,0.24516280104558066,0.1092,0.0471,0.2328,0.1857,0.7817,False
Gadolinium,Nephrogenic Systemic Fibrosis,silent_killer,1,0,2006-12-15,2006-06-17,5.626,734,1,0,0.8,2005-2010,61.49,14.36,14.36,47.09,78.38,39.26,30.0,55.19,1.0,13.597,0.6149,0.1436,0.47090000000000004,0.7837999999999999,0.3926,0.3,0.5519,0.6818247497641263,0.8543,0.6465,0.9495,0.3031,0.7087,True
Rosuvastatin,Parkinson Disease,negative,0,0,,2011-11-08,11.264,9999,0,0,0.8,unknown,11.12,80.87,80.87,66.99,65.47,28.97,29.17,42.85,1.0,2.474,0.1112,0.8087000000000001,0.6698999999999999,0.6547,0.2897,0.2917,0.4285,0.31672479508101986,0.4134,0.204,0.6596,0.4556,0.1732,True
Isotretinoin,Depression,media_panic,1,1,2005-07-15,2005-01-15,4.371,81,0,0,1.0,2005-2010,9.44,80.18,80.18,38.68,72.79,33.56,100.0,53.97,1.0,2.327,0.0944,0.8018000000000001,0.3868,0.7279000000000001,0.3356,1.0,0.5397,0.30572846034462514,0.9695,0.9076,0.9904,0.0828,0.939,False
Valproate,Pancreatic Cancer,negative,0,0,,2013-05-06,10.523,9999,0,0,0.8,unknown,0.0,57.41,57.41,1.73,48.99,41.48,0.0,26.41,1.0,2.108,0.0,0.5740999999999999,0.0173,0.4899,0.41479999999999995,0.0,0.2641,0.28841040738616813,0.0017,0.0008,0.0035,0.0027,0.9967,False
Fingolimod,Bradycardia,standard,1,0,2010-09-15,2010-03-18,4.821,1030,0,0,0.6,2010-2015,73.0,45.79,45.79,85.6,73.26,100.0,30.0,65.8,1.0,14.295,0.73,0.4579,0.856,0.7326,1.0,0.3,0.6579999999999999,0.6937047143957371,0.9987,0.9949,0.9997,0.0048,0.9974,False
Pergolide,Cardiac Valvulopathy,standard,1,0,2007-01-15,2006-07-18,2.597,665,1,0,0.6,2005-2010,67.65,57.49,57.49,55.42,19.41,51.47,60.0,81.01,1.0,17.31,0.6765000000000001,0.5749,0.5542,0.1941,0.5146999999999999,0.6,0.8101,0.7394649789369921,0.9966,0.9865,0.9991,0.0127,0.9931,False
Valproate,Pancreatic Cancer,negative,0,0,,2011-01-03,14.101,9999,0,0,0.8,unknown,8.79,60.81,60.81,0.0,12.15,28.66,47.44,24.16,1.0,1.638,0.08789999999999999,0.6081,0.0,0.1215,0.2866,0.4744,0.2416,0.24671008963920005,0.0037,0.0018,0.0075,0.0057,0.9927,False
Aspirin,Renal Cell Carcinoma,negative,0,0,,2013-12-08,12.09,9999,0,0,0.8,unknown,68.4,27.39,27.39,25.24,53.24,28.36,0.0,25.61,1.0,1.259,0.684,0.27390000000000003,0.25239999999999996,0.5324,0.2836,0.0,0.2561,0.2072630664756143,0.0137,0.0063,0.0297,0.0234,0.9726,False
Pregabalin,Cardiac Arrhythmia,negative,0,1,,2012-02-11,3.517,9999,0,0,0.8,unknown,39.85,100.0,100.0,1.13,45.18,28.73,54.34,28.77,1.0,2.496,0.3985,1.0,0.0113,0.4518,0.2873,0.5434,0.2877,0.3183303571186227,0.0762,0.0317,0.1719,0.1402,0.8476,False
Antidepressants,Type 2 Diabetes,negative,0,1,,2012-08-31,8.31,9999,0,0,0.8,unknown,0.0,62.69,62.69,0.0,27.02,3.45,0.0,30.11,1.0,2.241,0.0,0.6269,0.0,0.2702,0.0345,0.0,0.3011,0.29906766830467313,0.0004,0.0002,0.0008,0.0006,0.9991,False
Valdecoxib,Stevens-Johnson Syndrome,standard,1,0,2005-04-15,2004-10-16,5.038,1152,0,0,0.8,2005-2010,38.79,73.38,73.38,63.17,77.97,72.7,30.0,62.72,1.0,14.795,0.38789999999999997,0.7338,0.6317,0.7797,0.727,0.3,0.6272,0.7018860173465735,0.9842,0.948,0.9953,0.0473,0.9684,False
Sitaxentan,Hepatotoxicity,standard,1,0,2010-12-15,2010-06-17,5.025,770,0,0,0.8,2010-2015,73.44,77.56,77.56,96.96,72.39,53.22,35.0,88.39,1.0,19.634,0.7343999999999999,0.7756000000000001,0.9695999999999999,0.7239,0.5322,0.35,0.8839,0.7698561643947687,0.9998,0.9992,1.0,0.0008,0.9996,False
Codeine (Ped.),Respiratory Depression,silent_killer,1,0,2012-08-15,2012-02-16,7.706,986,0,0,0.8,2010-2015,100.0,21.4,21.4,78.88,88.82,44.39,60.0,60.29,1.0,22.862,1.0,0.214,0.7888,0.8881999999999999,0.4439,0.6,0.6029,0.8068229702382707,0.9984,0.9943,0.9996,0.0053,0.9969,False
Tetrazepam,Cutaneous Reactions,standard,1,0,2013-07-15,2013-01-15,2.773,143,0,0,0.6,2010-2015,74.07,100.0,100.0,65.74,54.19,63.12,100.0,69.18,1.0,5.578,0.7406999999999999,1.0,0.6574,0.5418999999999999,0.6312,1.0,0.6918000000000001,0.4790982418163965,0.9998,0.9992,1.0,0.0008,0.9996,False
Oral Contraceptives,Multiple Sclerosis,negative,0,1,,2014-06-27,3.56,9999,0,0,0.8,unknown,49.26,45.84,45.84,36.8,15.43,15.27,31.82,37.73,1.0,2.066,0.4926,0.45840000000000003,0.368,0.1543,0.1527,0.3182,0.37729999999999997,0.28495001688905663,0.0532,0.0245,0.1117,0.0872,0.8935,False
Cerivastatin,Rhabdomyolysis,standard,1,0,2001-08-15,2001-02-15,7.843,418,0,0,0.8,2000-2005,53.74,72.18,72.18,63.8,10.36,33.42,60.0,77.74,1.0,3.855,0.5374,0.7218000000000001,0.638,0.1036,0.3342,0.6,0.7774,0.4018512643574467,0.9896,0.9645,0.997,0.0325,0.9792,False
